Onset_Beats,Duration_Beats,Midi_Channel,Midi_Pitch,Velocity,Onset_Sec,Duration_Sec,Composer,Piece
1,1,2,59,127,0,0.521739,abel,sonata_e_minor_1_(nc)werths
2,2,2,67,127,0.521739,1.043478,abel,sonata_e_minor_1_(nc)werths
4,0.5,2,66,127,1.565217,0.2608695,abel,sonata_e_minor_1_(nc)werths
4.5,0.483333333333333,2,64,127,1.8260865,0.25217385,abel,sonata_e_minor_1_(nc)werths
5,0.333333333333333,2,63,127,2.086956,0.173913,abel,sonata_e_minor_1_(nc)werths
5.33333333333333,0.333333333333334,2,64,127,2.260869,0.173913,abel,sonata_e_minor_1_(nc)werths
5.66666666666667,0.316666666666666,2,66,127,2.434782,0.16521735,abel,sonata_e_minor_1_(nc)werths
6,2,2,60,127,2.608695,1.043478,abel,sonata_e_minor_1_(nc)werths
8,0.5,2,59,127,3.652173,0.2608695,abel,sonata_e_minor_1_(nc)werths
8.5,0.483333333333333,2,57,127,3.9130425,0.25217385,abel,sonata_e_minor_1_(nc)werths
9,0.5,2,57,127,4.173912,0.2608695,abel,sonata_e_minor_1_(nc)werths
9.5,0.483333333333333,2,55,127,4.4347815,0.25217385,abel,sonata_e_minor_1_(nc)werths
10,0.5,2,54,127,4.695651,0.2608695,abel,sonata_e_minor_1_(nc)werths
10.5,0.483333333333333,2,52,127,4.9565205,0.25217385,abel,sonata_e_minor_1_(nc)werths
11,0.5,2,55,127,5.21739,0.2608695,abel,sonata_e_minor_1_(nc)werths
11.5,0.483333333333333,2,54,127,5.4782595,0.25217385,abel,sonata_e_minor_1_(nc)werths
12,0.5,2,52,127,5.739129,0.2608695,abel,sonata_e_minor_1_(nc)werths
12.5,0.483333333333333,2,51,127,5.9999985,0.25217385,abel,sonata_e_minor_1_(nc)werths
13,1,2,51,127,6.260868,0.521739,abel,sonata_e_minor_1_(nc)werths
14,1,2,52,127,6.782607,0.521739,abel,sonata_e_minor_1_(nc)werths
16,0.483333333333334,2,67,127,7.826085,0.25217385,abel,sonata_e_minor_1_(nc)werths
16.5,0.483333333333334,2,64,127,8.0869545,0.25217385,abel,sonata_e_minor_1_(nc)werths
17,2,2,64,127,8.347824,1.043478,abel,sonata_e_minor_1_(nc)werths
19,1,2,63,127,9.391302,0.521739,abel,sonata_e_minor_1_(nc)werths
20,0.5,2,66,127,9.913041,0.2608695,abel,sonata_e_minor_1_(nc)werths
20.5,0.483333333333334,2,57,127,10.1739105,0.25217385,abel,sonata_e_minor_1_(nc)werths
21,0.125,2,59,127,10.43478,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.125,0.125,2,57,127,10.499997375,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.25,0.125,2,59,127,10.56521475,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.375,0.125,2,57,127,10.630432125,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.5,0.125,2,59,127,10.6956495,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.625,0.125,2,57,127,10.760866875,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.75,0.125,2,59,127,10.82608425,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
21.875,0.125,2,57,127,10.891301625,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22,0.125,2,59,127,10.956519,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.125,0.125,2,57,127,11.021736375,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.25,0.125,2,59,127,11.08695375,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.375,0.125,2,57,127,11.152171125,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.5,0.125,2,59,127,11.2173885,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.625,0.125,2,57,127,11.282605875,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.75,0.125,2,59,127,11.34782325,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
22.875,0.125,2,57,127,11.413040625,0.0652173749999996,abel,sonata_e_minor_1_(nc)werths
23,1,2,55,127,11.478258,0.521739,abel,sonata_e_minor_1_(nc)werths
24,0.5,2,57,127,11.999997,0.2608695,abel,sonata_e_minor_1_(nc)werths
24.5,0.483333333333334,2,59,127,12.2608665,0.25217385,abel,sonata_e_minor_1_(nc)werths
25,0.5,2,62,127,12.521736,0.2608695,abel,sonata_e_minor_1_(nc)werths
25.5,0.483333333333334,2,60,127,12.7826055,0.25217385,abel,sonata_e_minor_1_(nc)werths
26,0.5,2,59,127,13.043475,0.2608695,abel,sonata_e_minor_1_(nc)werths
26.5,0.483333333333334,2,57,127,13.3043445,0.25217385,abel,sonata_e_minor_1_(nc)werths
27,0.5,2,57,127,13.565214,0.2608695,abel,sonata_e_minor_1_(nc)werths
27.5,0.483333333333334,2,55,127,13.8260835,0.25217385,abel,sonata_e_minor_1_(nc)werths
